playername,fw_def,link
Aaron Gavey,FW,https://www.eliteprospects.com/player/9684/aaron-gavey
Rob DiMaio,FW,https://www.eliteprospects.com/player/8760/rob-dimaio
Dmitry Yushkevich,DEF,https://www.eliteprospects.com/player/18636/dmitry-yushkevich
Mikko Eloranta,FW,https://www.eliteprospects.com/player/2686/mikko-eloranta
Shean Donovan,FW,https://www.eliteprospects.com/player/8571/shean-donovan
Greg Adams,FW,https://www.eliteprospects.com/player/40890/greg-adams
Oleg Saprykin,FW,https://www.eliteprospects.com/player/8589/oleg-saprykin
Juha Ylönen,FW,https://www.eliteprospects.com/player/2704/juha-ylonen
Josef Beránek,FW,https://www.eliteprospects.com/player/10865/josef-beranek
Per-Johan Axelsson,FW,https://www.eliteprospects.com/player/694/per-johan-axelsson
Deron Quint,DEF,https://www.eliteprospects.com/player/11363/deron-quint
Shaun Van Allen,FW,https://www.eliteprospects.com/player/42653/shaun-van-allen
Alexander Khavanov,DEF,https://www.eliteprospects.com/player/8659/alexander-khavanov
Andrei Markov,DEF,https://www.eliteprospects.com/player/8579/andrei-markov
Mike Eastwood,FW,https://www.eliteprospects.com/player/69415/mike-eastwood
Jan Bulis,FW,https://www.eliteprospects.com/player/8368/jan-bulis
Len Barrie,FW,https://www.eliteprospects.com/player/31290/len-barrie
Jason Woolley,DEF,https://www.eliteprospects.com/player/8833/jason-woolley
Brad Stuart,DEF,https://www.eliteprospects.com/player/3669/brad-stuart
Igor Ulanov,DEF,https://www.eliteprospects.com/player/8843/igor-ulanov
Derian Hatcher,DEF,https://www.eliteprospects.com/player/8842/derian-hatcher
Ville Nieminen,FW,https://www.eliteprospects.com/player/2661/ville-nieminen
Darren McCarty,FW,https://www.eliteprospects.com/player/8973/darren-mccarty
Nelson Emerson,FW,https://www.eliteprospects.com/player/21569/nelson-emerson
Doug Brown,FW,https://www.eliteprospects.com/player/69495/doug-brown
Steve Staios,DEF,https://www.eliteprospects.com/player/5677/steve-staios
Mike Comrie,FW,https://www.eliteprospects.com/player/4701/mike-comrie
Sergei Krivokrasov,FW,https://www.eliteprospects.com/player/18730/sergei-krivokrasov
